会议,日期,地点,行业
2019CHINAFIT/IHRSA中国管理论坛,2019-12-09,服务行业,深圳
2019医疗器械GMP和过程确认研修班（北京）,2019-12-09,医疗医学,北京
国际色彩设计师认证班 （12月北京班）,2019-12-09,服务行业,北京
2019云南大学第45届高管论坛『2020年中国经济形势分析与民营企业应对策略』（昆明）,2019-12-09,其它行业,昆明
2019日本装配式建筑深度考察·培训活动,2019-12-09,游学考察,东京
2019年新西兰第二届土木建筑与环境工程国际会议,2019-12-09,学术会议,奥克兰
ACE2019全球素质教育行业峰会暨第三届国际素质教育展,2019-12-09,教育培训,北京
巴西海洋油气决策者大会 2019,2019-12-10,能源化工,里约热内卢
2019全国设备润滑管理与实用技术培训班（珠海）,2019-12-10,加工制造,珠海
2019 国际IT管理最佳实践认证课程（12月北京）,2019-12-10,IT互联网,北京
2019第六届中国国际大数据大会,2019-12-10,IT互联网,北京
猎云网2019年度CEO峰会暨猎云网创投颁奖盛典,2019-12-10,IT互联网,北京
攻防领域CISP-PTE渗透测试工程师认证（12月北京班）,2019-12-10,IT互联网,北京
NFS2019年度CEO峰会暨猎云网创投颁奖盛典,2019-12-10,金融财经,北京
2019企业用工风险防范精品课（12月贵阳班）,2019-12-10,其它行业,贵阳
第三届氢能与储能技术国际研讨会暨中国氢能产业技术创新与应用联盟2019年年会（宁波）,2019-12-10,能源化工,宁波
2019年第51届英国医学超声学会年会(BMUS2019),2019-12-10,学术会议,哈罗盖特
2019年第42届圣安东尼奥乳腺癌研讨会(SABCS2019),2019-12-10,学术会议,圣安东尼奥
2019阿米巴精品班（12月10-11日盘锦班）,2019-12-10,其它行业,盘锦
2019安全生产管理、风险防控及应急体制机制建设等相关知识暨高级安全工程管理师培训班（12月深圳）,2019-12-10,加工制造,深圳
2019年第18届新加坡工程技术进步国际会议,2019-12-10,学术会议,新加坡城
【上海】验货流程及技术基础培训班(AQL，抽样，疵点判定)(2019-12-10),2019-12-10,服务行业,上海
【青岛】杂货检验基本知识培训班(2019-12-10),2019-12-10,服务行业,青岛
