,会议,日期,地点,行业
0,2019企业出行服务峰会（北京）,2019-12-05,IT互联网,北京
1,2019微信生态智慧经营线下峰会,2019-12-05,IT互联网,昆明
2,数“智”● 未来 — 场景引领招聘新势能 （广州站）,2019-12-05,其它行业,广州
3,2019深度学习DeepLearning核心技术实战培训班（12月北京班）,2019-12-06,IT互联网,北京
4,2019《教学能力提升暨课程信息化设计与制作》实战班 （12月北京）,2019-12-06,教育培训,北京
5,ArchSummit全球架构师峰会（北京站）2019,2019-12-06,IT互联网,北京
6,第三期临床科研设计与meta分析培训班（12月广州站）,2019-12-06,医疗医学,广州
7,4+7新政下患者为中心高峰论坛2019（上海）,2019-12-06,医疗医学,上海
8,Proof of Value 价值共识大会 2019 · 上海（区块链峰会）,2019-12-06,金融财经,上海
9,2019‘双万计划’国家级一流本科课程建设与申报研修班（12月桂林班）,2019-12-06,教育培训,桂林
10,鼎酩学院WSET葡萄酒三级课程（12月厦门班）,2019-12-06,服务行业,厦门
11,2019工程教育专业认证专题研修班（12月厦门班）,2019-12-06,教育培训,厦门
12,2019金课建设与课程思政教学设计工作坊,2019-12-06,教育培训,厦门
13,2019第七届全国绿色医院建设大会（哈尔滨）,2019-12-06,医疗医学,哈尔滨
14,Kubernetes CKA实战培训 - 12月成都班,2019-12-06,IT互联网,成都
15,2019聚焦金课的高校虚拟仿真实验教学项目建设研修班（12月北京班）,2019-12-06,教育培训,北京
16,【郑州•12月】UAWS·WSET®第三级葡萄酒认证课程,2019-12-06,服务行业,郑州
17,2019“新形势下食品安全能力提升--新版食品安全法实施条例解读”专题培训班,2019-12-06,服务行业,广州
18,“竖拍·速剪·精修”2019全国视频拍摄与剪辑包装年终集训（12月武汉班）,2019-12-06,文化传媒,武汉
19,2019全国被动式装配建筑与乡村振兴产业发展大会——暨田园综合体与特色小镇建设高峰论坛,2019-12-06,地产建筑,泉州
20,2019天然产物与中药的节能高效提取、分离纯化研究进展及智能化技术应用专题交流会（西安）,2019-12-06,医疗医学,西安
21,2019（杭州）绿色化工催化加氢技术、催化剂开发及设备选型交流研讨会,2019-12-06,能源化工,杭州
22,2019（杭州）化工管道与设备的绝热（保温与保冷）专题培训班,2019-12-06,能源化工,杭州
23,2019年中国肿瘤标志物学术大会暨第十三届肿瘤标志物青年科学家论坛,2019-12-06,医疗医学,武汉
24,2019生物饲料发酵实用新技术与营养科学大会暨新技术、新产品、新装备展示会,2019-12-06,农林牧渔,武汉
25,2019高校青年教师学术论文写作与发表研修班（12月北京班）,2019-12-06,教育培训,北京
26,2019世界创新者年会（北京）,2019-12-06,IT互联网,北京
27,第三届电化学与储能国际研讨会(CEES 2019),2019-12-06,能源化工,三亚
28,第六届植物学国际研讨会(CB 2019),2019-12-06,农林牧渔,三亚
29,第三届声学、振动、噪声控制国际研讨会（CAVNC 2019） ,2019-12-06,教育培训,三亚
30,第三届微生物，病毒与免疫国际研讨会(CMVI 2019),2019-12-06,医疗医学,三亚
31,第五届生物化学与分子生物学国际研讨会(CABMB 2019),2019-12-06,教育培训,三亚
32,第六届分子、原子、核及粒子物理学术研讨会(MANPP 2019),2019-12-06,教育培训,三亚
33,第八届遗传学与基因组学国际研讨会(GC 2019),2019-12-06,教育培训,三亚
34,第五届激光与光电子国际研讨会(LOC 2019),2019-12-06,教育培训,三亚
35,第五届辐射效应和辐射防护学术研讨会(RERP 2019),2019-12-06,教育培训,三亚
36,第六届天体物理与空间科学国际研讨会（APSS 2019）,2019-12-06,教育培训,三亚
37,量子位MEET 2020智能未来大会 | 人工智能与前沿科技峰会,2019-12-06,IT互联网,北京
38,2019新零售时代VIP精准营销与粉丝经营高级研修班（12月北京）,2019-12-06,服务行业,北京
39,SmartShow2019国际教育信息化论坛（北京）,2019-12-06,教育培训,北京
40,嵌入式智能国际大会2019,2019-12-06,IT互联网,深圳
41,2019年太阳能光伏技术国际会议(CSPT 2019),2019-12-06,能源化工,三亚
42,2019年电池与燃料电池技术国际研讨会(BFCT 2019),2019-12-06,能源化工,三亚
43,第三届石油化工和节能减排国际研讨会(PECER 2019),2019-12-06,能源化工,三亚
44,2019年第三届动物医学学术研讨会 (CVM 2019) ,2019-12-06,农林牧渔,三亚
45,2019（第五届）中国转型+峰会（广州）,2019-12-06,金融财经,广州
46,2019年12月6-8日网状meta分析培训（12月北京班）,2019-12-06,医疗医学,北京
47,2019装配式建筑师报考培训班（11月北京班）,2019-12-06,地产建筑,北京
48,2019装配式建筑师培训班（12月北京）,2019-12-06,地产建筑,北京
49,2019装配式建筑工程师报考培训班（12月北京班）,2019-12-06,地产建筑,北京
50,2019第四届中国国际金融科技创新大会（上海）,2019-12-06,金融财经,上海
51,2019年教育科学与经济发展国际学术会议ICESED2019,2019-12-06,学术会议,马六甲
52,2019年第73届美国癫痫学会年会(AES2019),2019-12-06,学术会议,巴尔的摩
